,YearMonth,Units Sold Sum,Operating Profit Sum,Operating Margin Sum,Operating Margin Median
0,2020-01-01,7249950,874501350,9370.5,0.4
1,2020-02-01,4314444,593639154,5257.679999999999,0.4
2,2020-03-01,6153332,767923179,6563.1,0.36
3,2020-04-01,7112170,1209169260,7365.799999999999,0.43
4,2020-05-01,3391975,557730560,3602.4,0.4
5,2020-06-01,976140,137563680,1165.2,0.305
6,2020-07-01,3974776,511438096,3943.6800000000003,0.35
7,2020-08-01,8660673,1020111131,8248.26,0.42
8,2020-09-01,4428000,683491872,4014.7200000000003,0.45
9,2020-10-01,2594362,355994076,3132.1200000000003,0.44
10,2020-11-01,2640960,292265295,4256.7,0.4
11,2020-12-01,1890140,249522216,3397.56,0.41
12,2021-01-01,127481589,13730804271,208927.35,0.4
13,2021-02-01,103346806,10714737448,180706.14,0.4
14,2021-03-01,96615948,9781703129,191000.15,0.41
15,2021-04-01,114980787,12981420936,217110.96000000002,0.42
16,2021-05-01,129702500,17454693275,225634.50000000003,0.42
17,2021-06-01,110214405,16338322014,189614.67,0.41
18,2021-07-01,120922270,19521961520,191137.59999999998,0.42
19,2021-08-01,139525596,19358353560,220333.25999999998,0.42
20,2021-09-01,132805400,17391863944,236032.16000000003,0.44
21,2021-10-01,111263152,15243591272,230069.84000000003,0.42
22,2021-11-01,103051500,15160728990,199534.2,0.4
23,2021-12-01,114221082,19261651346,187146.86,0.41
