name,username,sport
David Aardsma,TheDA53,baseball
Henry Aaron,HenryLouisAaron,baseball
Andrew Abbott,andrewabbott33,baseball
Cory Abbott,Cabbott40,baseball
Jim Abbott,jabbottum31,baseball
Albert Abreu,a_abreu36,baseball
Bobby Abreu,BobKellyAbreu,baseball
A.J. Achter,ajachter35,baseball
Garrett Acton,gacton34,baseball
Ronald Acuña Jr.,ronaldacunajr24,baseball
Jason Adam,Jason_Adam9,baseball
Cristhian Adames,Crisadams26,baseball
Willy Adames,willya02,baseball
Austin Adams,AustinAdams49,baseball
Jordyn Adams,jordynadams10,baseball
Lane Adams,LA_Swiftness,baseball
Matt Adams,BigCityForReal,baseball
Mike Adams,MLBMikeAdams,baseball
Riley Adams,RileyAdams,baseball
Ty Adcock,Ty_Beezy5,baseball
Jim Adduci,JimAdduci23,baseball
Jo Adell,joadell0,baseball
Tim Adleman,ImYourTA,baseball
Ehire Adrianza,soncaballos,baseball
Jeremy Affeldt,JeremyAffeldt,baseball
Jesús Aguilar,JAguilarMKE,baseball
Miguel Aguilar,MigueAguilar31,baseball
Nick Ahmed,NickAhmed13,baseball
Danny Ainge,danielrainge,baseball
Keegan Akin,KeeganAkin,baseball
Hanser Alberto,elpotroalberto,baseball
Ozzie Albies,ozzie,baseball
Arismendy Alcántara,arismendy0529,baseball
Sandy Alcántara,sandyalcantar15,baseball
Blaze Alexander,BAlexander52,baseball
CJ Alexander,CAlexander_52,baseball
A.J. Alexy,AJ_AlexY_,baseball
Jorge Alfaro,_JorgeAlfaro11,baseball
Dick Allen,DickAllen_15,baseball
Logan Allen,allenlo02,baseball
Abraham Almonte,AbrahamAlmonte,baseball
Miguel Almonte,MiguelAlmonte27,baseball
Zoilo Almonte,ZoiloAlmonte45,baseball
Albert Almora,albertalmora,baseball
Roberto Alomar,Robbiealomar,baseball
Yonder Alonso,YonderalonsoU,baseball
Moisés Alou,MoisesAlou18,baseball
Dan Altavilla,DanAlt3225,baseball
Aaron Altherr,AAltherr,baseball
Jose Altuve,JoseAltuve27,baseball
Dariel Álvarez,darielalvarez64,baseball
Eddy Alvarez,eddyalvarez90,baseball
Henderson Alvarez III,HendersonA37,baseball
Adael Amador,adael_amador,baseball
Alexi Amarista,AlexiAmarista,baseball
Jacob Amaya,JacobAmaya3,baseball
Miguel Amaya,mamaya_9,baseball
Héctor Ambriz,hAmbriz,baseball
Brett Anderson,BAnderson3737,baseball
Brian Anderson,AndersonBrian01,baseball
Chase Anderson,ChaseAnderson87,baseball
Cody Anderson,Cody_Anderson40,baseball
Ian Anderson,ian_anderson15,baseball
Marlon Anderson,MarlonAnderson8,baseball
Tim Anderson,TimAnderson7,baseball
Tyler Anderson,AndersonTJ08,baseball
Clayton Andrews,clayton1andrews,baseball
Matt Andriese,MAndriese,baseball
Dean Anna,DinoBamBino1124,baseball
Tejay Antone,TejayAntone,baseball
Matt Antonelli,MattAntonelli9,baseball
Luis Aparicio,LAparicio11HOF,baseball
Sherten Apostel,ShertenApostel,baseball
Mark Appel,markappel26,baseball
Chris Archer,ChrisArcher22,baseball
Orlando Arcia,orlandoarcia9,baseball
Oswaldo Arcia,arciaoswaldo,baseball
J.P. Arencibia,jparencibia9,baseball
