athlete,title,description,url,publish_date
Cristiano Ronaldo,"Al Taawoun Vs Al Nassr Preview & Team News- Expected Starting Lineups, Injuries, H2H Stats, Live Streaming, TV Channels & How To Watch Cristiano Ronaldo In Saudi Super Cup","Al Nassr will face Al Taawoun in the Saudi Super Cup semi-final as we look at the expected lineups, injuries, head-to-head record and more.",https://www.essentiallysports.com/soccer-football-news-al-taawoun-vs-al-nassr-preview-team-news-expected-starting-lineups-injuries-hh-stats-live-streaming-tv-channels-how-to-watch-cristiano-ronaldo-in-saudi-super-cup/,2024-08-13T15:15:15Z
Cristiano Ronaldo,Cristiano Ronaldo has already made his feelings clear on Matthijs de Ligt joining Man Utd,"Former Manchester United hero Cristiano Ronaldo is a big fan of Bayern Munich defender Matthijs de Ligt, who is on the verge of a move to Old Trafford",https://www.manchestereveningnews.co.uk/sport/football/football-news/cristiano-ronaldo-already-made-feelings-29728823,2024-08-13T10:34:15Z
Cristiano Ronaldo,We Will Continue Together: Pepe Reacts to Cristiano Ronaldo's Heartfelt Post,"Portugal defender Pepe recently announced his retirement from football and he has reacted to Cristiano Ronaldo's post for his retirement.Cristiano, who is nearing his retirement, has put up a post on...",https://www.deccanchronicle.com/sports/we-will-continue-together-pepe-reacts-to-cristiano-ronaldos-heartfelt-post-1815828,2024-08-12T11:42:00Z
Cristiano Ronaldo,'I Should've Beaten Messi & Ronaldo to the Ballon d'Or - It Was a Political Decision',Franck Ribery has a theory as to why Cristiano Ronaldo beat him to the 2013 Ballon d'Or.,https://www.givemesport.com/i-shouldve-beaten-messi-ronaldo-to-the-ballon-dor-it-was-a-political-decision/,2024-08-11T20:20:43Z
Cristiano Ronaldo,Comparing Lionel Messi and Cristiano Ronaldo's Stats Since Leaving Europe,"One has more goals, one has more assists.",https://www.givemesport.com/lionel-messi-vs-cristiano-ronaldo-mls-saudi-stats-compared-goals-assists/,2024-08-11T19:00:31Z
Cristiano Ronaldo,10 Most Expensive Players Over the Age of 30,"Cristiano Ronaldo, Casemiro and Robert Lewandowski all feature in the top 10.",https://www.givemesport.com/most-expensive-players-over-age-of-30/,2024-08-10T18:30:45Z
Cristiano Ronaldo,8 Greatest El Clasico Matches of the 21st Century (Ranked),"Barcelona and Real Madrid have played out some incredible games over the years, boasting stars like Lionel Messi and Cristiano Ronaldo.",https://www.givemesport.com/greatest-el-classico-matches-barcelona-real-madrid/,2024-08-10T15:15:00Z
Cristiano Ronaldo,Man Utd flop 'not interested' in Cristiano Ronaldo reunion as Ten Hag is left in awkward position,"Manchester United winger Antony is not interested in a move to Saudi Arabia this summer, despite the reported interest from the Middle East.",https://www.teamtalk.com/manchester-united/man-utd-flop-not-interested-cristiano-ronaldo-reunion-ten-hag-awkward-position,2024-08-10T12:01:19Z
Cristiano Ronaldo,Man United already know summer transfer plan isn't working and Cristiano Ronaldo proved it,Man United's transfer track record dating back to Sir Alex Ferguson's success gives reason for frustration over lack of transfer business,https://www.manchestereveningnews.co.uk/sport/football/transfer-news/man-united-already-know-summer-29707993,2024-08-09T12:00:00Z
Cristiano Ronaldo,Cristiano Ronaldo pays emotional tribute to Pepe as Portugal and Real Madrid legend retires,Cristiano Ronaldo has paid an emotional tribute to Pepe after his decision to retire from football.The legendary Portuguese defender has opted to hang,https://talksport.com/football/2002285/cristiano-ronaldo-pays-tribute-pepe-retires-portugal-real-madrid/,2024-08-08T19:48:48Z
LeBron James,LeBron James Gnarly Behavior Towards French Kid: 3 Instances When Lakers’ Superstar Was Unpleasant With Fans,"LeBron James hasn't always had pleasant interactions with the basketball fans, and there are instances to prove it.",https://www.essentiallysports.com/nba-active-basketball-news-lebron-james-gnarly-behavior-towards-french-kid-three-instances-when-lakers-superstar-was-unpleasant-with-fans/,2024-08-13T13:27:00Z
LeBron James,Nick Wright Petitions WC Rival to Make Stephen Curry & LeBron James' NBA Dream Come True After Paris Olympics,"Days after revealing his proposal to unite LeBron James and Stephen Curry on the domestic, Nick Wright once again reiterates his point",https://www.essentiallysports.com/nba-active-basketball-news-nick-wright-petitions-wc-rival-to-make-stephen-curry-and-lebron-james-nba-dream-come-true-after-paris-olympics/,2024-08-13T12:44:22Z
