,name,username,sport,followers_count,tweet_count
0,Cristiano Ronaldo,Cristiano,soccer,112479386,4126
1,LeBron James,KingJames,basketball,52978276,9343
2,Andrés Iniesta,andresiniesta8,soccer,25156086,3785
3,Ronaldinho,10Ronaldinho,soccer,21525346,6977
4,Karim Benzema,Benzema,soccer,21175235,3997
5,Kevin Durant,KDTrey5,basketball,21039309,25635
6,Gerard Piqué,3gerardpique,soccer,20542108,3517
7,Luis Suárez,LuisSuarez9,soccer,17662351,2252
8,Stephen Curry,StephenCurry30,basketball,17561591,8146
9,Sergio Agüero,aguerosergiokun,soccer,16734267,5957
10,Shaquille O'Neal,SHAQ,basketball,15728613,10551
11,Kobe Bryant,kobebryant,basketball,14278213,1904
12,Marcel,MarceloM12,soccer,13005797,2138
13,Carles Puyol,Carles5puyol,soccer,12340712,2546
14,Paul Pogba,paulpogba,soccer,10478489,1050
15,Iker Casillas,IkerCasillas,soccer,10136730,5894
16,Cesc Fàbregas,cesc4official,soccer,9717958,6127
17,Dwyane Wade,DwyaneWade,basketball,9396502,15655
18,Robin van Persie,Persie_Official,soccer,9060983,1124
19,Carmelo Anthony,carmeloanthony,basketball,8989343,3769
20,Chris Paul,CP3,basketball,8282953,6710
21,James Harden,JHarden13,basketball,7736245,13643
22,Pau Gasol,paugasol,basketball,7014503,16378
23,Russell Westbrook,russwest44,basketball,6652762,5995
24,Dwight Howard,DwightHoward,basketball,6101757,24186
25,J.J. Watt,JJWatt,football,5617476,14361
26,Russell Wilson,DangeRussWilson,football,5505043,12834
27,Magic Johnson,MagicJohnson,basketball,5267546,13959
28,Bastian Schweinsteiger,BSchweinsteiger,soccer,4987646,2468
29,Dani Carvajal,DaniCarvajal92,soccer,4900275,2605
30,Kyrie Irving,KyrieIrving,basketball,4733724,4374
31,Thomas Müller,esmuellert_,soccer,4733227,3159
32,Manu Ginóbili,manuginobili,basketball,4680015,7061
33,Aaron Rodgers,AaronRodgers12,football,4555744,3252
34,Thiago Alcântara,Thiago6,soccer,4427329,2551
35,Tim Tebow,TimTebow,football,4410061,4381
36,Oscar,oscar8,soccer,4369055,1632
37,Blake Griffin,blakegriffin23,basketball,4220771,2849
38,Paul Pierce,paulpierce34,basketball,3915986,2861
