name,username

Justin Abdelkader,@justinabss

Will Acton,@BillTheBod

Luke Adam,@LukeJAdam

Sebastian Aho,@SebastianAho

Jason Akeson,@JasonAkeson

John Albert,@adelbertjohn

Daniel Alfredsson,@DAlfredsson11

Jake Allen,@34jallen

Karl Alzner,@KarlAlzner

Frederik Andersen,@f_andersen30

Craig Anderson,@CraigAnderson41

Andy Andreoff,@andyandreoff

Sven Andrighetto,@Andrighetto25

Brandon Archibald,@Archibald9210

Darren Archibald,@arch2five

Mark Arcobello,@sporkabella

Colby Armstrong,@armdog

Linus Arnesson,@ArnessonLinus

Arron Asham,@TheRealAsham45

Carter Ashton,@c_ash15

Rasmus Asplund,@raasmusaasplunf

Andreas Athanasiou,@AndreasA86

Cam Atkinson,@CamAtkinson13

Keith Aulie,@kaulie59

Yohann Auvitu,@YohannAuvitu

Sean Avery,@imseanavery

Richard Bachman,@Bacher31

David Backes,@dbackes42

Mikael Backlund,@mbacklund11

Nicklas Bäckström,@backstrom19

Jamie Baker,@Bakes_Jamie13

Krys Barch,@krysbarch

Aleksander Barkov,@Barkovsasha95

Matthew Barnaby,@MattBarnaby3636

Tyson Barrie,@tysonbarrie

Victor Bartley,@VicBartley8

Mathew Barzal,@Barzal_97

Bob Bassen,@BobBassen28

François Beauchemin,@beauch32

Nathan Beaulieu,@natebeaulieu

Anthony Beauvillier,@titobeauvi21

Taylor Beck,@taybeckone9

Matt Beleskey,@Matt_Beleskey

Brendan Bell,@BBell09

Pierre-Édouard Bellemare,@bellsy78

Jamie Benn,@jamiebenn14

Beau Bennett,@BeauBennett19

Sam Bennett,@SBennett93

Matt Benning,@mbennzzzz

André Benoit,@ABenoit61

Max Bentley,@

Bryan Berard,@BryanBerard

Sean Bergenheim,@seanbergie

Marc-André Bergeron,@bergeron47

Reto Berra,@yogi20bear

Jean-François Bérubé,@JRouby

Antoine Bibeau,@BibeauAntoine01

Stu Bickel,@StuBickel

Bryan Bickell,@bbicks29

Alex Biega,@ABiega4

Kevin Bieksa,@kbieksa3

Jordan Binnington,@binnnasty

Martin Biron,@martybiron43

Ben Bishop,@Benbishop30

Paul Bissonnette,@BizNasty2point0

Anthony Bitetto,@ABitetto7

Oliver Bjorkstrand,@OBjorkstrand

Nick Bjugstad,@NBjugstad72

Jesse Blacker,@JBlacker91

Jonathon Blum,@JonBlum7

Troy Bodie,@TroyBodie

Andrew Bodnarchuk,@hali_bods

Zach Bogosian,@BogosianZach

Alexandre Bolduc,@Aduke49

Dave Bolland,@DaveBolland

Brandon Bollig,@Bollig87

Nick Bonino,@NickBonino

David Booth,@D_Booth7

Patrick Bordeleau,@PBordy

Robert Bortuzzo,@rbontuzzo21

Mike Bossy,@Bossy5050

Brian Boucher,@BrianBoucher33

Chris Bourque,@cbourque17

Ray Bourque,@RayBourque77

Ryan Bourque,@RyanBourque91

Darryl Boyce,@dboyce47

Johnny Boychuk,@joboych

Zach Boychuk,@ZachBoychuk

Brad Boyes,@bboyes28

Brian Boyle,@BriBrows22

Tyler Bozak,@Bozie42

Tim Bozon,@timbozon94

Tim Brent,@Brenter37

Daniel Brière,@DannyBriere48

Martin Brodeur,@MartinBrodeur

Jonas Brodin,@brodin25

Troy Brouwer,@TroyBrouwer36

Chris Brown,@txbrownie

Connor Brown,@Breeze2Greeze

Dustin Brown,@DustinBrown23

J.T. Brown,@JTBrown23

Patrick Brown,@PattyBrown36

Damien Brunner,@damien_brunner

Ilya Bryzgalov,@bryzgoalie30

Brett Bulmer,@BrettBulmer92

André Burakovsky,@andreburakovsky

Adam Burish,@ABurish37

Sean Burke,@SBurkie1

Brent Burns,@Burnzie88

Alexandre Burrows,@aburr14

Chris Butler,@TheButler44

Paul Byron,@jpbyron89

Mikkel Bødker,@Mikkelboedker

Jack Caffery,@

Ryan Callahan,@TheRealCally24

Brian Campbell,@bcampbell_51

Patrick Cannone,@Pistolpat20

Luca Caputi,@Lputi17

Daniel Carcillo,@CarBombBoom13

Paul Carey,@PaulCarey28

Matt Carkner,@CarknerMatt

Matt Carle,@mattcarle25

Brandon Carlo,@1996_Carlo

John Carlson,@JohnCarlson74

Jordan Caron,@Jord38caron

Daniel Carr,@DanCarr9

Connor Carrick,@connorcarrick

Anson Carter,@AnsonCarterLA

Jeff Carter,@JeffCarter_77

Ryan Carter,@CartersStache

Cody Ceci,@Cecer_83

Michael Chaput,@MichaelChaput62

Kelly Chase,@Chasenpucks39

Mathieu Chouinard,@Chouine

Jakob Chychrun,@j_chychrun7

Casey Cizikas,@zeeker11

Wendel Clark,@wendelclark17

Bill Clement,@BillClement10

Adam Clendening,@Clenny5

Kyle Clifford,@13KCliffy

Grant Clitsome,@GClitsome

Rich Clune,@richclune

Colby Cohen,@ColbyCohen36

Carlo Colaiacovo,@CarloColaiacovo

Joe Colborne,@Joe_Colborne

Ian Cole,@ICole28

Sebastian Collberg,@collberg49

Mike Commodore,@commie22

Mike Comrie,@Mike_Comrie

Cory Conacher,@conhockey19

Mike Condon,@Condibear1

Erik Condra,@ECondra

Brett Connolly,@bconnolly8

Kyle Connor,@KyleConnor18

Andrew Copp,@Copp94

Frank Corrado,@frankcorrado22

Jean-Philippe Côté,@jpside

Riley Cote,@rileecoyote

Russ Courtnall,@RussCourtnall

Nick Cousins,@Cous27

Logan Couture,@Logancouture

Charlie Coyle,@CharlieCoyle_3

Adam Cracknell,@ACracknell27

Lawson Crouse,@LawCrouse

Austin Czarnik,@ACzarnik7

Kevin Czuczman,@GoToCzucz

Jerry D'Amigo,@JerryD91

Zac Dalpe,@ZacDalpe22

Phillip Danault,@phildanault

Ken Daneyko,@KenDaneykoMSG

Marko Daňo,@Marko_Dano

Mathieu Darche,@matdarche52

Scott Darling,@SDarling_33

Pavel Datsyuk,@Datsyuk13

Laurent Dauphin,@flippers27

Brandon Davidson,@bdavy3

Calvin de Haan,@cal_dehaan

Jacob de La Rose,@JacobdelaRose

Mark Dekanich,@dexshow

Danny DeKeyser,@DeKeyser5

Michael Del Zotto,@MichaelDelZotto

Aaron Dell,@ADell32

Dylan DeMelo,@ddems2

Jason Demers,@jasondemers5

Andrew Desjardins,@AndrewDesjardin

Simon Despres,@Despres747

Jamie Devane,@jdevane

Raphael Diaz,@diaz_raphael_61

Brenden Dillon,@BDillon04

Kevin Dineen,@kdino9

Chris Dingman,@dingdish

Max Domi,@max_domi

Tie Domi,@thereal_tiedomi

Louis Domingue,@domingue35

Matt Donovan,@SquatchDonovan

Derek Dorsett,@Twigy15

Drew Doughty,@dewyy8

Jim Dowd,@dowdjim

Nic Dowd,@JimmyDowder26

Justin Dowling,@therealjdowls

Steve Downie,@stevedownie23

Leon Draisaitl,@Drat_29

Nick Drazenovic,@Drazzy1010

Jonathan Drouin,@jodrouin27

Brandon Dubinsky,@BDubi17

Matt Duchene,@Matt9Duchene

Anthony Duclair,@aduclair10

Ron Duguay,@RonDuguay10

Mathew Dumba,@matt_dumba

Brian Dumoulin,@Du24theboyz

Pascal Dupuis,@Duper0009

Christian Dvorak,@10_CD

Gordie Dwyer,@GDwyer32

Patrick Dwyer,@pattydwyer39

Ryan Dzingel,@Ryandzingel

Cody Eakin,@CodyEakin50

Andrew Ebbett,@aebbett

Jordan Eberle,@ebs_14

Joel Edmundson,@JEdmundson3

Nikolaj Ehlers,@NikolajEhlers24

Christian Ehrhoff,@TheRealHoff10

Jack Eichel,@Jack_Eichel11

Aaron Ekblad,@Ekblad5FLA

Mattias Ekholm,@MatEkh14

Oliver Ekman-Larsson,@OEL23

Patrik Eliáš,@pelias

Lars Eller,@lellerofficial

Keaton Ellerby,@ellerby88

Brian Elliott,@KidElls1

Stefan Elliott,@stefelliott6

Morgan Ellis,@MorganEllis4

Nelson Emerson,@nemerson19

Cory Emmerton,@cemmer48

Jhonas Enroth,@JEnroth125

Joel Eriksson Ek,@ErikssonEk

John Erskine,@johnerskine04

Emerson Etem,@tweetem_up

Robby Fabbri,@RFabbri15

Radek Faksa,@RadekFaksa

Justin Falk,@JuicerFalk

Bobby Farnham,@bobbyfarnham24

Hudson Fasching,@Hfasching22

Justin Faulk,@JustinFaulk27

Mark Fayne,@mfayne87

Todd Fedoruk,@fridge29

Taylor Fedun,@tfedun88

Eric Fehr,@EricFehr

Andrew Ference,@Ferknuckle

Peter Ferraro,@PFerraro42

Ray Ferraro,@rayferrarotsn

Mike Fisher,@mikefisher1212

Mark Fistric,@Fistric45

Theo Fleury,@TheoFleury14

Nick Foligno,@NickFoligno

Christian Folin,@ChristianFolin

Justin Fontaine,@J_Fontaine37

Gustav Forsling,@GForsling

Alex Foster,@Alex23Foster

Colin Fraser,@colinfraser

Matt Fraser,@mfraser25

Matt Frattin,@Matt_Frattin

Trevor Frischmon,@TFrisch39

Martin Frk,@Frky91

Zachary Fucale,@Fucale31

Grant Fuhr,@grantfuhr

Marián Gáborík,@MGaborik12

Sam Gagner,@89SGagner

Alex Galchenyuk,@AGally94

T.J. Galiardi,@TJGaliardi

Stanislav Galiev,@Galixon_97

Brendan Gallagher,@BGALLY17

Jake Gardiner,@Jgardiner272

Jason Garrison,@J_G_5

Johnny Gaudreau,@johngaudreau03

Brendan Gaunce,@BrendanGaunce16

Denis Gauthier,@DGauthierRDS

Luke Gazdic,@lukegazdic

Blake Geoffrion,@BlakeGeoffrion

Nathan Gerbe,@NathanGerbe14

Bruno Gervais,@bruno_gervais27

