item,item_label,twitter
http://www.wikidata.org/entity/Q10668,Fitz Hall,
http://www.wikidata.org/entity/Q10709,Fernando Forestieri,
http://www.wikidata.org/entity/Q10711,Manuel Almunia,
http://www.wikidata.org/entity/Q10715,Lee Hodson,
http://www.wikidata.org/entity/Q10718,John Eustace,
http://www.wikidata.org/entity/Q10720,Neuton,
http://www.wikidata.org/entity/Q10723,Mark Yeates,
http://www.wikidata.org/entity/Q10724,Jonathan Hogg,
http://www.wikidata.org/entity/Q10725,Troy Deeney,t_deeney
http://www.wikidata.org/entity/Q10725,Troy Deeney,T_Deeney
http://www.wikidata.org/entity/Q10726,Chris Iwelumo,
http://www.wikidata.org/entity/Q10727,Steve Leo Beleck,
http://www.wikidata.org/entity/Q10729,Stephen McGinn,
http://www.wikidata.org/entity/Q10730,Sean Murray,
http://www.wikidata.org/entity/Q10732,Daniel Pudil,
http://www.wikidata.org/entity/Q10733,Prince Buaben,
http://www.wikidata.org/entity/Q10735,Matěj Vydra,vydra_92
http://www.wikidata.org/entity/Q10736,Ikechi Anya,
http://www.wikidata.org/entity/Q10754,Almen Abdi,
http://www.wikidata.org/entity/Q10758,Marco Cassetti,
http://www.wikidata.org/entity/Q10761,Connor Smith,
http://www.wikidata.org/entity/Q10764,Jonathan Bond,
http://www.wikidata.org/entity/Q10767,Tommie Hoban,
http://www.wikidata.org/entity/Q10772,Alex Geijo,
http://www.wikidata.org/entity/Q10781,Geoffrey Mujangi Bia,
http://www.wikidata.org/entity/Q10785,Cristian Battocchio,
http://www.wikidata.org/entity/Q10788,Nathaniel Chalobah,chalobah
http://www.wikidata.org/entity/Q10792,Joel Ekstrand,
http://www.wikidata.org/entity/Q10796,Jean-Alain Fanchone,
http://www.wikidata.org/entity/Q10857,Rachel Brown,
http://www.wikidata.org/entity/Q10860,Siobhan Chamberlain,Sio_Chamberlain
http://www.wikidata.org/entity/Q10861,Hope Powell,
http://www.wikidata.org/entity/Q10864,Karen Bardsley,klbardsley
http://www.wikidata.org/entity/Q10868,Casey Stoney,CaseyStoney
http://www.wikidata.org/entity/Q10869,Rachel Unitt,
http://www.wikidata.org/entity/Q10871,Steph Houghton,stephhoughton2
http://www.wikidata.org/entity/Q10875,Laura Bassett,laurabassett6
http://www.wikidata.org/entity/Q10878,Dunia Susi,
http://www.wikidata.org/entity/Q10879,Sophie Bradley-Auckland,
http://www.wikidata.org/entity/Q10881,Claire Rafferty,clrafferty1
http://www.wikidata.org/entity/Q10883,Rachel Yankey,
http://www.wikidata.org/entity/Q10885,Fara Williams,fara_williams47
http://www.wikidata.org/entity/Q10889,Karen Carney,karenjcarney
http://www.wikidata.org/entity/Q10896,Jill Scott,JillScottJS8
http://www.wikidata.org/entity/Q10902,Anita Asante,
http://www.wikidata.org/entity/Q10905,Eniola Aluko,enialu
http://www.wikidata.org/entity/Q10905,Eniola Aluko,EniAlu
http://www.wikidata.org/entity/Q10911,Ellen White,ellsbells89
http://www.wikidata.org/entity/Q10914,Rachel Williams,
http://www.wikidata.org/entity/Q10916,Toni Duggan,toniduggan
http://www.wikidata.org/entity/Q10916,Toni Duggan,ToniDuggan
http://www.wikidata.org/entity/Q10917,Faye White,faye_white
http://www.wikidata.org/entity/Q10918,Katie Chapman,chapmans17
http://www.wikidata.org/entity/Q11571,Cristiano Ronaldo,Cristiano
http://www.wikidata.org/entity/Q11576,Raúl González Blanco,RaulGonzalez
http://www.wikidata.org/entity/Q11584,Iker Casillas,IkerCasillas
http://www.wikidata.org/entity/Q11931,Tim Matavž,
http://www.wikidata.org/entity/Q11944,Orlando Engelaar,
http://www.wikidata.org/entity/Q11946,Menno Koch,
http://www.wikidata.org/entity/Q11948,Michael Ballack,
http://www.wikidata.org/entity/Q11949,Dick Advocaat,
http://www.wikidata.org/entity/Q11950,Boy Waterman,
http://www.wikidata.org/entity/Q11954,Dries Mertens,dries_mertens14
http://www.wikidata.org/entity/Q11956,Ola Toivonen,OlaToivonen20
http://www.wikidata.org/entity/Q11958,Phillip Cocu,
http://www.wikidata.org/entity/Q11966,Bafétimbi Gomis,BafGomis
http://www.wikidata.org/entity/Q12160,Rémi Garde,
http://www.wikidata.org/entity/Q12897,Pelé,Pele
http://www.wikidata.org/entity/Q12984,Stephan El Shaarawy,OfficialEl92
