item,item_label,twitter
http://www.wikidata.org/entity/Q354,Piet Kraak,
http://www.wikidata.org/entity/Q379,František Plánička,
http://www.wikidata.org/entity/Q615,Lionel Messi,fundacionmessi
http://www.wikidata.org/entity/Q624,Alessandro Del Piero,delpieroale
http://www.wikidata.org/entity/Q1634,Adriaan Paulen,
http://www.wikidata.org/entity/Q1835,Zinedine Zidane,
http://www.wikidata.org/entity/Q1839,Laurent Blanc,
http://www.wikidata.org/entity/Q1879,Corentin Martins,
http://www.wikidata.org/entity/Q1883,Sabri Lamouchi,
http://www.wikidata.org/entity/Q1885,Jürgen Locadia,locadiaofficial
http://www.wikidata.org/entity/Q1894,Memphis Depay,Memphis
http://www.wikidata.org/entity/Q1894,Memphis Depay,memphis
http://www.wikidata.org/entity/Q1907,Hugo Lloris,
http://www.wikidata.org/entity/Q1908,Mathieu Debuchy,MatDebuchy
http://www.wikidata.org/entity/Q1909,Adil Rami,
http://www.wikidata.org/entity/Q1910,Yohan Cabaye,YCabayeofficiel
http://www.wikidata.org/entity/Q1911,Olivier Giroud,_OlivierGiroud_
http://www.wikidata.org/entity/Q1912,Karim Benzema,Benzema
http://www.wikidata.org/entity/Q1913,Florent Malouda,
http://www.wikidata.org/entity/Q1915,Laurent Koscielny,6_LKOSCIELNY
http://www.wikidata.org/entity/Q1916,Patrice Evra,Evra
http://www.wikidata.org/entity/Q1917,Philippe Mexès,
http://www.wikidata.org/entity/Q1918,Franck Ribéry,FranckRibery
http://www.wikidata.org/entity/Q1919,Mathieu Valbuena,MathieuVal8
http://www.wikidata.org/entity/Q1920,Samir Nasri,SamNasri19
http://www.wikidata.org/entity/Q1921,Blaise Matuidi,MATUIDIBlaise
http://www.wikidata.org/entity/Q1922,Anthony Réveillère,
http://www.wikidata.org/entity/Q1923,Jérémy Ménez,jeremy_menez187
http://www.wikidata.org/entity/Q1924,Steve Mandanda,SteveMandanda
http://www.wikidata.org/entity/Q1925,Yann M'Vila,yannmvilafr
http://www.wikidata.org/entity/Q1926,Alou Diarra,
http://www.wikidata.org/entity/Q1927,Marvin Martin,
http://www.wikidata.org/entity/Q1928,Hatem Ben Arfa,
http://www.wikidata.org/entity/Q1929,Gaël Clichy,
http://www.wikidata.org/entity/Q1931,Cédric Carrasso,
http://www.wikidata.org/entity/Q1934,Sidney Govou,GovouSidney
http://www.wikidata.org/entity/Q1935,Eric Abidal,
http://www.wikidata.org/entity/Q1936,Djibril Cissé,djibrilcisse
http://www.wikidata.org/entity/Q1937,William Gallas,
http://www.wikidata.org/entity/Q1938,Bacary Sagna,Sagnaofficial
http://www.wikidata.org/entity/Q1939,Nicolas Anelka,anelkaofficiel
http://www.wikidata.org/entity/Q1940,André-Pierre Gignac,10APG
http://www.wikidata.org/entity/Q1942,Sébastien Squillaci,
http://www.wikidata.org/entity/Q1943,Abou Diaby,AbouVDIABY
http://www.wikidata.org/entity/Q1944,Jérémy Toulalan,
http://www.wikidata.org/entity/Q2339,Robin van Persie,Persie_Official
http://www.wikidata.org/entity/Q3250,Tom Biss,
http://www.wikidata.org/entity/Q3606,Emil Rilke,
http://www.wikidata.org/entity/Q3677,Dennis Lawrence,
http://www.wikidata.org/entity/Q3722,C.K. Vineeth,
http://www.wikidata.org/entity/Q4124,Franciszek Smuda,
http://www.wikidata.org/entity/Q4142,T-killah,t_killah
http://www.wikidata.org/entity/Q4142,T-killah,T_KILLAH
http://www.wikidata.org/entity/Q4232,Bernard Lacombe,
http://www.wikidata.org/entity/Q4237,Fleury Di Nallo,
http://www.wikidata.org/entity/Q4240,Serge Chiesa,
http://www.wikidata.org/entity/Q4261,Michel Platini,
http://www.wikidata.org/entity/Q4457,Franz Beckenbauer,beckenbauer
http://www.wikidata.org/entity/Q4462,Joachim Löw,
http://www.wikidata.org/entity/Q4573,Sean Connery,
http://www.wikidata.org/entity/Q4599,Raúl Albiol,R_Albiol
http://www.wikidata.org/entity/Q4691,Andre de Kruijff,
http://www.wikidata.org/entity/Q4732,Yassine Benzia,
http://www.wikidata.org/entity/Q4740,Júnior César Moreira da Cunha,
http://www.wikidata.org/entity/Q4757,Yves Mariot,
http://www.wikidata.org/entity/Q4790,Michele Pellizzer,
http://www.wikidata.org/entity/Q4876,Jan de Kreek,
http://www.wikidata.org/entity/Q5024,Abel Xavier,
http://www.wikidata.org/entity/Q5117,Eugen Polanski,
http://www.wikidata.org/entity/Q6817,Daniel Rosin,
http://www.wikidata.org/entity/Q7085,Niels Bohr,
http://www.wikidata.org/entity/Q9354,Gianfranco Zola,
http://www.wikidata.org/entity/Q9486,Graham Taylor,
http://www.wikidata.org/entity/Q9675,Kelly Smith,kelly_smith10
http://www.wikidata.org/entity/Q10131,Francisco Varallo,
http://www.wikidata.org/entity/Q10520,David Beckham,
http://www.wikidata.org/entity/Q10524,Ryan Giggs,RyanGiggs_cc
http://www.wikidata.org/entity/Q10531,Luther Blissett,
http://www.wikidata.org/entity/Q10543,Tommy Mooney,
http://www.wikidata.org/entity/Q10548,Nigel Gibbs,
http://www.wikidata.org/entity/Q10552,Robert Page,
http://www.wikidata.org/entity/Q10556,Heiðar Helguson,
http://www.wikidata.org/entity/Q10560,Freddie Ljungberg,
http://www.wikidata.org/entity/Q10569,Danny Graham,
http://www.wikidata.org/entity/Q10572,Adrian Mariappa,
http://www.wikidata.org/entity/Q10577,Tom Cleverley,tomclevz23
http://www.wikidata.org/entity/Q10581,Tommy Smith,
http://www.wikidata.org/entity/Q10585,Ben Foster,
http://www.wikidata.org/entity/Q10588,Marlon King,
http://www.wikidata.org/entity/Q10590,Gavin Mahon,
http://www.wikidata.org/entity/Q10592,Marcus Gayle,
http://www.wikidata.org/entity/Q10594,Alec Chamberlain,
http://www.wikidata.org/entity/Q10598,David James,jamosfoundation
http://www.wikidata.org/entity/Q10599,Sean Dyche,
http://www.wikidata.org/entity/Q10600,Ray Lewington,
http://www.wikidata.org/entity/Q10601,Kenny Jackett,
http://www.wikidata.org/entity/Q10602,Ashley Young,youngy18
http://www.wikidata.org/entity/Q10603,Marvin Sordell,
http://www.wikidata.org/entity/Q10606,Lloyd Doyley,
http://www.wikidata.org/entity/Q10611,Aidy Boothroyd,
http://www.wikidata.org/entity/Q10668,Fitz Hall,
http://www.wikidata.org/entity/Q10709,Fernando Forestieri,
http://www.wikidata.org/entity/Q10711,Manuel Almunia,
http://www.wikidata.org/entity/Q10715,Lee Hodson,
http://www.wikidata.org/entity/Q10718,John Eustace,
http://www.wikidata.org/entity/Q10720,Neuton,
http://www.wikidata.org/entity/Q10723,Mark Yeates,
http://www.wikidata.org/entity/Q10724,Jonathan Hogg,
http://www.wikidata.org/entity/Q10725,Troy Deeney,t_deeney
http://www.wikidata.org/entity/Q10725,Troy Deeney,T_Deeney
http://www.wikidata.org/entity/Q10726,Chris Iwelumo,
http://www.wikidata.org/entity/Q10727,Steve Leo Beleck,
http://www.wikidata.org/entity/Q10729,Stephen McGinn,
http://www.wikidata.org/entity/Q10730,Sean Murray,
http://www.wikidata.org/entity/Q10732,Daniel Pudil,
http://www.wikidata.org/entity/Q10733,Prince Buaben,
http://www.wikidata.org/entity/Q10735,Matěj Vydra,vydra_92
http://www.wikidata.org/entity/Q10736,Ikechi Anya,
http://www.wikidata.org/entity/Q10754,Almen Abdi,
http://www.wikidata.org/entity/Q10758,Marco Cassetti,
http://www.wikidata.org/entity/Q10761,Connor Smith,
http://www.wikidata.org/entity/Q10764,Jonathan Bond,
http://www.wikidata.org/entity/Q10767,Tommie Hoban,
http://www.wikidata.org/entity/Q10772,Alex Geijo,
http://www.wikidata.org/entity/Q10781,Geoffrey Mujangi Bia,
http://www.wikidata.org/entity/Q10785,Cristian Battocchio,
http://www.wikidata.org/entity/Q10788,Nathaniel Chalobah,chalobah
http://www.wikidata.org/entity/Q10792,Joel Ekstrand,
http://www.wikidata.org/entity/Q10796,Jean-Alain Fanchone,
http://www.wikidata.org/entity/Q10857,Rachel Brown,
http://www.wikidata.org/entity/Q10860,Siobhan Chamberlain,Sio_Chamberlain
http://www.wikidata.org/entity/Q10861,Hope Powell,
http://www.wikidata.org/entity/Q10864,Karen Bardsley,klbardsley
http://www.wikidata.org/entity/Q10868,Casey Stoney,CaseyStoney
http://www.wikidata.org/entity/Q10869,Rachel Unitt,
http://www.wikidata.org/entity/Q10871,Steph Houghton,stephhoughton2
http://www.wikidata.org/entity/Q10875,Laura Bassett,laurabassett6
http://www.wikidata.org/entity/Q10878,Dunia Susi,
http://www.wikidata.org/entity/Q10879,Sophie Bradley-Auckland,
http://www.wikidata.org/entity/Q10881,Claire Rafferty,clrafferty1
http://www.wikidata.org/entity/Q10883,Rachel Yankey,
http://www.wikidata.org/entity/Q10885,Fara Williams,fara_williams47
http://www.wikidata.org/entity/Q10889,Karen Carney,karenjcarney
http://www.wikidata.org/entity/Q10896,Jill Scott,JillScottJS8
http://www.wikidata.org/entity/Q10902,Anita Asante,
http://www.wikidata.org/entity/Q10905,Eniola Aluko,enialu
http://www.wikidata.org/entity/Q10905,Eniola Aluko,EniAlu
http://www.wikidata.org/entity/Q10911,Ellen White,ellsbells89
http://www.wikidata.org/entity/Q10914,Rachel Williams,
http://www.wikidata.org/entity/Q10916,Toni Duggan,toniduggan
http://www.wikidata.org/entity/Q10916,Toni Duggan,ToniDuggan
http://www.wikidata.org/entity/Q10917,Faye White,faye_white
http://www.wikidata.org/entity/Q10918,Katie Chapman,chapmans17
http://www.wikidata.org/entity/Q11571,Cristiano Ronaldo,Cristiano
http://www.wikidata.org/entity/Q11576,Raúl González Blanco,RaulGonzalez
http://www.wikidata.org/entity/Q11584,Iker Casillas,IkerCasillas
http://www.wikidata.org/entity/Q11931,Tim Matavž,
http://www.wikidata.org/entity/Q11944,Orlando Engelaar,
http://www.wikidata.org/entity/Q11946,Menno Koch,
http://www.wikidata.org/entity/Q11948,Michael Ballack,
http://www.wikidata.org/entity/Q11949,Dick Advocaat,
http://www.wikidata.org/entity/Q11950,Boy Waterman,
http://www.wikidata.org/entity/Q11954,Dries Mertens,dries_mertens14
http://www.wikidata.org/entity/Q11956,Ola Toivonen,OlaToivonen20
http://www.wikidata.org/entity/Q11958,Phillip Cocu,
http://www.wikidata.org/entity/Q11966,Bafétimbi Gomis,BafGomis
http://www.wikidata.org/entity/Q12160,Rémi Garde,
http://www.wikidata.org/entity/Q12897,Pelé,Pele
http://www.wikidata.org/entity/Q12984,Stephan El Shaarawy,OfficialEl92
http://www.wikidata.org/entity/Q13002,Paul Gascoigne,
http://www.wikidata.org/entity/Q13054,Steed Malbranque,
http://www.wikidata.org/entity/Q13055,Rémy Vercoutre,
http://www.wikidata.org/entity/Q13057,Mathieu Gorgelin,
http://www.wikidata.org/entity/Q13304,Mouhamadou Dabo,
http://www.wikidata.org/entity/Q13306,Alexandre Lacazette,LacazetteAlex
http://www.wikidata.org/entity/Q13308,Samuel Umtiti,samumtiti
http://www.wikidata.org/entity/Q13309,Sidy Koné,
http://www.wikidata.org/entity/Q13488,Grégory Coupet,
http://www.wikidata.org/entity/Q13494,Jean-Pierre Papin,
http://www.wikidata.org/entity/Q13501,Hani Al-Dhabit,
http://www.wikidata.org/entity/Q13563,Ernst Schybergson,
http://www.wikidata.org/entity/Q14063,Herman Brusselmans,
http://www.wikidata.org/entity/Q14135,Ri Kwang-chon,
http://www.wikidata.org/entity/Q15077,Patricio Escobal,
http://www.wikidata.org/entity/Q15149,Óscar Tabárez,
http://www.wikidata.org/entity/Q15199,Jack Wilshere,jackwilshere
http://www.wikidata.org/entity/Q15199,Jack Wilshere,JackWilshere
http://www.wikidata.org/entity/Q15772,Markus Weinzierl,
http://www.wikidata.org/entity/Q15802,Daniel Passarella,
http://www.wikidata.org/entity/Q16783,Fernando César de Souza,
http://www.wikidata.org/entity/Q16794,Ralf Schmitt,
http://www.wikidata.org/entity/Q17158,Carles Puyol,Carles5puyol
http://www.wikidata.org/entity/Q17163,Johan Cruyff,
http://www.wikidata.org/entity/Q17490,Jean Marie Dongou,
http://www.wikidata.org/entity/Q17491,Jean Armel Kana Biyik,
http://www.wikidata.org/entity/Q17492,Jonathan two Santos,jona2santos
http://www.wikidata.org/entity/Q17493,Thiago Alcântara,Thiago6
http://www.wikidata.org/entity/Q17499,Cesc Fàbregas,cesc4official
http://www.wikidata.org/entity/Q17500,Xavi Hernández,
http://www.wikidata.org/entity/Q17507,Gerard Piqué,3gerardpique
